Area,Perimeter,Eccentricity,Orientation,MajorAxisLength,MinorAxisLength,CentroidX,CentroidY,MeanR,MeanG,MeanB,StdR,StdG,StdB,RelacionAspecto,Circularidad,Compacidad,Etiqueta,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Area_Scale,Perimeter_Scale,MajorAxisLength_Scale,MinorAxisLength_Scale,CentroidX_Scale,CentroidY_Scale,Circularidad_Scale,Compacidad_Scale,BoundingBox_Scale_1,BoundingBox_Scale_2,BoundingBox_Scale_3,BoundingBox_Scale_4,Clase,NombreImagen
27049,646.865,0.87238626830289,43.7628704370394,266.032132621952,130.041066901768,1793.64675219047,703.232134274835,87.2657399534179,76.095900033273,75.7086029058376,34.8362066433954,37.9876462835083,30.9789950925715,2.04575476778354,0.812332392014038,15.4694934461533,10,1687.5,599.5,212,208,1.25874856259882,4.41277473707537,1.80681590719954,0.891022125067673,12.1819475407503,4.81844240151276,0.812316613049298,15.4697939356271,11.4610284605433,4.10768518518519,1.4398447606727,1.42518518518519,frejol_rojo,img10.jpeg
42025,782.27,0.725631477390575,25.8811191188571,281.081052670047,193.407245952594,1908.99371802499,266.908245092207,87.6411183819155,80.3193575252826,77.9323022010708,37.7624219030244,38.6575881431008,31.7808934047262,1.45331190300359,0.862986963752267,14.5614837096966,11,1770.5,158.5,276,212,1.95566964927411,5.33647869891237,1.9090239670346,1.32519779634185,12.9653519012046,1.82881575340957,0.862970200859384,14.5617665614004,12.0247412677878,1.08601851851852,1.8745148771022,1.45259259259259,frejol_rojo,img10.jpeg
33500,675.579,0.300082403153949,-86.4606068709425,213.090760782829,203.270107176721,1969.28394029851,1246.12507462687,87.7228656716418,79.0628955223881,76.2837611940299,35.6179242657086,36.8984714225838,29.2942889454503,1.04831331936855,0.92236409431539,13.6240891116716,12,1869.5,1133.5,211,222,1.55895141584016,4.60865550632457,1.44725290311753,1.39277666028494,13.374826243942,8.53826440022112,0.922346178065016,13.6243537548148,12.6971216041397,7.76657407407407,1.43305304010349,1.52111111111111,frejol_rojo,img10.jpeg
34340,724.074,0.703861982531461,6.2220888827424,249.291001113451,177.080561491062,2061.99612696564,1869.5749271986,87.1685497961561,77.5099592312172,74.6475829935935,37.7357888733886,38.2509122339287,30.1226228272513,1.40778298314823,0.823084168819304,15.2674186801398,13,1937.5,1775.5,256,188,1.59804154089406,4.93947802860428,1.69311481998139,1.2133297731795,14.0045015091457,12.8100504271015,0.823068181009135,15.2677152443823,13.1589586028461,12.165462962963,1.73868046571798,1.28814814814815,frejol_rojo,img10.jpeg
38854,785.071,0.891052839242017,48.2930600781582,330.657447827246,150.085279954276,2322.9479590261,688.219436866217,84.5701343491018,75.6611931847429,76.0250424666701,34.6479714977502,35.8906825591782,29.0999901397996,2.20313043309765,0.792187033580694,15.8628834879549,14,2202.5,555.5,247,269,1.80810442719563,5.35558652208806,2.24573298977108,1.02836210339041,15.7768134345239,4.71557762297223,0.792171645924861,15.863191618892,14.9587645536869,3.8062037037037,1.67755498059508,1.84314814814815,frejol_rojo,img10.jpeg
43957,791.085,0.692202122216093,61.4654584798891,279.444876427474,201.676399599915,2574.93555065177,1799.90549855541,85.0082125713766,77.6487021407284,75.8848192551812,37.8450570094773,37.2119021733041,30.1962458622044,1.38561020021101,0.882656267219145,14.2369924522829,15,2464.5,1662.5,216,273,2.04557693689809,5.3966127443582,1.89791151519306,1.38185681207349,17.488242743754,12.3326858234352,0.882639122264376,14.2372690008581,16.7381953428202,11.3912037037037,1.46701164294955,1.87055555555556,frejol_rojo,img10.jpeg
39916,802.442,0.867751796784434,26.3325833054994,320.831779084914,159.452690303046,2808.41915522597,1079.55413869125,92.1756438520894,77.4515482513278,78.1389167251228,31.8773625365819,35.8289264463086,28.6608694778675,2.01208131687939,0.778985860177563,16.1317056659986,16,2662.5,976.5,293,204,1.85752551387092,5.4740877703512,2.17899979326753,1.09254621133569,19.0739981435141,7.39694502436598,0.778970728944902,16.1320190187121,18.0829560155239,6.69083333333333,1.98997412677878,1.39777777777778,frejol_rojo,img10.jpeg
49386,839.824,0.69512727415138,65.0312121104733,297.969558998415,214.206349921096,2903.45559470295,496.314704572146,88.4609200988134,81.0036852549305,79.827825699591,36.4683435949022,36.5606610221773,30.01806111584,1.39103980394687,0.879907770740322,14.2814633899486,17,2789.5,345.5,233,300,2.29822013799051,5.72909978247329,2.02372598284823,1.46771017538529,19.7194590843344,3.40067482762396,0.879890679173095,14.2817408023561,18.9455045278137,2.36731481481482,1.58247089262613,2.05555555555556,frejol_rojo,img10.jpeg
31622,654.803,0.625483473146102,20.9528519071122,228.103491389825,177.974878628718,366.697299348555,1578.47868572513,71.7591866422111,58.3157928024793,57.7801530579976,34.9005196701288,37.1268557569206,29.7849962006644,1.28166117121329,0.926782612641696,13.5591350581557,1,256.5,1489.5,228,184,1.61689619857906,4.68227744598277,1.63208630977388,1.27186296654033,2.62372854729801,11.2802919115074,0.926782268132953,13.559140098434,1.83526405451448,10.6444229840657,1.63134582623509,1.3149203283438,frejol_rojo,img2.jpeg
36604,719.766,0.717587912819978,82.9424785095371,260.330875593104,181.312107881475,367.010108184898,1273.21227188285,65.4583378865698,57.859359632827,56.8378046115179,35.9046787624245,35.7099220831599,28.6486030036466,1.43581627633652,0.887883029353107,14.1531825690088,2,270.5,1138.5,195,261,1.87163583747986,5.14680615114048,1.86267406727604,1.29571182841421,2.62596670251545,9.09876466628018,0.887882699304331,14.1531878301099,1.93543441226576,8.13606953162723,1.39522998296422,1.86518590053114,frejol_rojo,img2.jpeg
