Clase,Imagen,Objeto,Area,Perimetro,Excentricidad,Orientacion,EjeMayor,EjeMenor,CentroideX,CentroideY
lentejas,lentil_4.jpeg,4,3589,533.105,0.642232572329461,-85.9308291573682,109.752759381125,84.126569189586,778.052660908331,2181.45834494288
lentejas,lentil_4.jpeg,5,5176,258.601,0.455542350534768,-89.6621645121577,86.2557954112607,76.7861263975678,812.349884080371,918.700734157651
lentejas,lentil_4.jpeg,6,4714,250.149,0.532139907208416,-32.8906045913695,85.0910813747098,72.0429116185298,896.664616037336,1547.5407297412
lentejas,lentil_4.jpeg,7,6337,284.876,0.275415654652515,68.3975131330732,92.0315209579234,88.4722239777668,915.463941928357,1286.51901530693
lentejas,lentil_4.jpeg,8,5268,263.291,0.497203100979728,-76.8016374168446,89.1967224924667,77.3901254905468,1000.93621867882,995.527145026576
lentejas,lentil_4.jpeg,9,6269,284.23,0.42735062621086,9.92622095616854,94.3821976703941,85.3296207903625,1147.70330196204,1312.69787844951
lentejas,lentil_4.jpeg,10,5313,264.556,0.471294846189241,34.0018465291431,88.6353962358938,78.1742672762611,1169.84961415396,1711.5211744777
lentejas,lentil_4.jpeg,11,5520,268.947,0.51983900623104,76.5935399217053,91.3519983726607,78.0387463101986,1244.67916666667,1822.46920289855
lentejas,lentil_4.jpeg,12,4422,357.206,0.397483007796808,35.5017889556886,106.410294877148,97.6431011892494,1343.52939846223,1678.11171415649
lentejas,lentil_4.jpeg,13,4743,315.583,0.332449135607106,53.9508169603156,106.061286861153,100.028646695463,1373.12945393211,844.618595825427
lentejas,lentil_4.jpeg,14,5539,270.997,0.549158461062619,81.9853135536427,92.927659891701,77.6613408153808,1426.555334898,1380.10615634591
lentejas,lentil_4.jpeg,15,4562,254.36,0.407602440939081,21.1352991473916,80.2625664265992,73.292524046807,1509.06992547128,1610.30425252082
lentejas,lentil_4.jpeg,16,5286,264.474,0.527356622475182,-54.7569920336516,89.4803859890681,76.0264765484624,1564.2773363602,1431.34960272418
lentejas,lentil_5.jpeg,2,6727,365.501,0.470682155492656,81.6249168617959,99.0705787359049,87.4102533737473,456.434517615579,1302.93682176304
lentejas,lentil_5.jpeg,3,6644,291.062,0.196348748760689,4.57630426251946,92.9271329020219,91.1182248811091,503.14373871162,2064.11935580975
lentejas,lentil_5.jpeg,4,5387,273.934,0.48287204146443,-9.04668853769858,88.7043712192619,77.6776126538168,716.675515129014,2052.58882494895
lentejas,lentil_5.jpeg,5,6984,378.545,0.537455812210443,80.5766843240589,103.207152610753,87.0337571230783,767.372995418099,717.848510882016
lentejas,lentil_5.jpeg,6,6706,313.854,0.458712160079923,19.7947320334398,98.3400629503623,87.3834966454667,921.804652549955,2337.84133611691
lentejas,lentil_5.jpeg,7,6191,279.913,0.432617474882278,-1.32723756343659,93.9730221445649,84.723969247681,1004.79567113552,2227.11225973187
lentejas,lentil_5.jpeg,8,5587,268.335,0.492806668900195,84.5542825768686,91.6634564283691,79.7599329206782,1061.14068373009,1676.520315017
lentejas,lentil_5.jpeg,9,5783,281.584,0.475927025536822,15.7810478577078,91.887120810407,80.8133236097562,1213.07781428324,1060.90195400311
lentejas,lentil_5.jpeg,10,5150,266.069,0.555996084482084,28.1440323503027,89.2268217392473,74.1639877662679,1275.29669902913,1250.45495145631
lentejas,lentil_5.jpeg,11,5790,305.642,0.390495670357178,43.5166272118333,103.163096586432,94.9724381826967,1358.69360967185,1561.39810017271
lentejas,lentil_6.jpeg,1,6705,348.342,0.480175980545671,-61.7543685850169,98.9268871365699,86.7759129310928,332.912900820283,1317.46099925429
lentejas,lentil_6.jpeg,2,5301,289.4,0.448166823115555,-26.6148755708857,86.9903461503801,77.7650148887203,581.718732314658,2166.8458781362
lentejas,lentil_6.jpeg,3,4873,284.354,0.535260564750829,-70.1419946443301,85.8525349070395,72.5185201455838,654.361994664478,803.300841370819
lentejas,lentil_6.jpeg,4,5786,306.213,0.563281882013165,-61.8475657511827,94.7889573997168,78.320779024259,743.760974766678,2019.40701693744
lentejas,lentil_6.jpeg,5,5577,278.284,0.436616168106525,12.7022740825305,89.010788483188,80.0783678367071,943.496682804375,1466.37708445401
lentejas,lentil_6.jpeg,6,5584,299.589,0.465164746970025,-14.8455581892707,90.1170510260381,79.7737879828493,1043.5426217765,2183.81679799427
lentejas,lentil_6.jpeg,7,5633,294.908,0.486709620616764,33.7348774042326,90.7603447704019,79.2849533567509,1161.75359488727,890.624889046689
lentejas,lentil_6.jpeg,8,6544,310.819,0.235919123592076,2.33642238047623,92.6721797012742,90.0562936470311,1282.27276894866,1225.59795232274
lentejas,lentil_6.jpeg,9,5726,291.236,0.563063943074008,39.7828187412424,94.1051757617313,77.7697718997016,1358.28274537199,1528.2478169752
lentejas,lentil_6.jpeg,10,6716,326.665,0.339011432687321,-16.0481576876196,95.4293296958912,89.7782198416374,1377.34991066111,1009.54526503871
lentejas,lentil_6.jpeg,11,6481,325.136,0.444316681980467,-58.0190511607757,96.0934192565603,86.0871916236149,1629.24965283135,2166.11603147662
lentejas,lentil_6.jpeg,12,5693,360.458,0.48001634402921,2.74801412393567,91.2518298616713,80.0515387537725,2026.06183031793,323.376075882663
lentejas,lentil_7.jpeg,1,5996,290.946,0.429131819695868,31.4337745793547,92.9120266853777,83.9220330169883,765.633922615077,765.757171447632
lentejas,lentil_7.jpeg,3,5406,268.467,0.460264632579966,50.3334583729954,88.4058479876326,78.4851000480564,776.097299297077,1993.76914539401
lentejas,lentil_7.jpeg,4,3589,533.105,0.642232572329461,-85.9308291573682,109.752759381125,84.126569189586,778.052660908331,2181.45834494288
lentejas,lentil_7.jpeg,5,5176,258.601,0.455542350534768,-89.6621645121577,86.2557954112607,76.7861263975678,812.349884080371,918.700734157651
lentejas,lentil_7.jpeg,6,4714,250.149,0.532139907208416,-32.8906045913695,85.0910813747098,72.0429116185298,896.664616037336,1547.5407297412
lentejas,lentil_7.jpeg,7,6337,284.876,0.275415654652515,68.3975131330732,92.0315209579234,88.4722239777668,915.463941928357,1286.51901530693
lentejas,lentil_7.jpeg,8,5268,263.291,0.497203100979728,-76.8016374168446,89.1967224924667,77.3901254905468,1000.93621867882,995.527145026576
lentejas,lentil_7.jpeg,9,6269,284.23,0.42735062621086,9.92622095616854,94.3821976703941,85.3296207903625,1147.70330196204,1312.69787844951
lentejas,lentil_7.jpeg,10,5313,264.556,0.471294846189241,34.0018465291431,88.6353962358938,78.1742672762611,1169.84961415396,1711.5211744777
lentejas,lentil_7.jpeg,11,5520,268.947,0.51983900623104,76.5935399217053,91.3519983726607,78.0387463101986,1244.67916666667,1822.46920289855
lentejas,lentil_7.jpeg,12,4422,357.206,0.397483007796808,35.5017889556886,106.410294877148,97.6431011892494,1343.52939846223,1678.11171415649
lentejas,lentil_7.jpeg,13,4743,315.583,0.332449135607106,53.9508169603156,106.061286861153,100.028646695463,1373.12945393211,844.618595825427
lentejas,lentil_7.jpeg,14,5539,270.997,0.549158461062619,81.9853135536427,92.927659891701,77.6613408153808,1426.555334898,1380.10615634591
lentejas,lentil_7.jpeg,15,4562,254.36,0.407602440939081,21.1352991473916,80.2625664265992,73.292524046807,1509.06992547128,1610.30425252082
lentejas,lentil_7.jpeg,16,5286,264.474,0.527356622475182,-54.7569920336516,89.4803859890681,76.0264765484624,1564.2773363602,1431.34960272418
lentejas,lentil_8.jpeg,2,6727,365.501,0.470682155492656,81.6249168617959,99.0705787359049,87.4102533737473,456.434517615579,1302.93682176304
lentejas,lentil_8.jpeg,3,6644,291.062,0.196348748760689,4.57630426251946,92.9271329020219,91.1182248811091,503.14373871162,2064.11935580975
lentejas,lentil_8.jpeg,4,5387,273.934,0.48287204146443,-9.04668853769858,88.7043712192619,77.6776126538168,716.675515129014,2052.58882494895
lentejas,lentil_8.jpeg,5,6984,378.545,0.537455812210443,80.5766843240589,103.207152610753,87.0337571230783,767.372995418099,717.848510882016
lentejas,lentil_8.jpeg,6,6706,313.854,0.458712160079923,19.7947320334398,98.3400629503623,87.3834966454667,921.804652549955,2337.84133611691
lentejas,lentil_8.jpeg,7,6191,279.913,0.432617474882278,-1.32723756343659,93.9730221445649,84.723969247681,1004.79567113552,2227.11225973187
lentejas,lentil_8.jpeg,8,5587,268.335,0.492806668900195,84.5542825768686,91.6634564283691,79.7599329206782,1061.14068373009,1676.520315017
lentejas,lentil_8.jpeg,9,5783,281.584,0.475927025536822,15.7810478577078,91.887120810407,80.8133236097562,1213.07781428324,1060.90195400311
lentejas,lentil_8.jpeg,10,5150,266.069,0.555996084482084,28.1440323503027,89.2268217392473,74.1639877662679,1275.29669902913,1250.45495145631
lentejas,lentil_8.jpeg,11,5790,305.642,0.390495670357178,43.5166272118333,103.163096586432,94.9724381826967,1358.69360967185,1561.39810017271
lentejas,lentil_9.jpeg,1,6705,348.342,0.480175980545671,-61.7543685850169,98.9268871365699,86.7759129310928,332.912900820283,1317.46099925429
lentejas,lentil_9.jpeg,2,5301,289.4,0.448166823115555,-26.6148755708857,86.9903461503801,77.7650148887203,581.718732314658,2166.8458781362
lentejas,lentil_9.jpeg,3,4873,284.354,0.535260564750829,-70.1419946443301,85.8525349070395,72.5185201455838,654.361994664478,803.300841370819
lentejas,lentil_9.jpeg,4,5786,306.213,0.563281882013165,-61.8475657511827,94.7889573997168,78.320779024259,743.760974766678,2019.40701693744
lentejas,lentil_9.jpeg,5,5577,278.284,0.436616168106525,12.7022740825305,89.010788483188,80.0783678367071,943.496682804375,1466.37708445401
lentejas,lentil_9.jpeg,6,5584,299.589,0.465164746970025,-14.8455581892707,90.1170510260381,79.7737879828493,1043.5426217765,2183.81679799427
lentejas,lentil_9.jpeg,7,5633,294.908,0.486709620616764,33.7348774042326,90.7603447704019,79.2849533567509,1161.75359488727,890.624889046689
lentejas,lentil_9.jpeg,8,6544,310.819,0.235919123592076,2.33642238047623,92.6721797012742,90.0562936470311,1282.27276894866,1225.59795232274
lentejas,lentil_9.jpeg,9,5726,291.236,0.563063943074008,39.7828187412424,94.1051757617313,77.7697718997016,1358.28274537199,1528.2478169752
lentejas,lentil_9.jpeg,10,6716,326.665,0.339011432687321,-16.0481576876196,95.4293296958912,89.7782198416374,1377.34991066111,1009.54526503871
lentejas,lentil_9.jpeg,11,6481,325.136,0.444316681980467,-58.0190511607757,96.0934192565603,86.0871916236149,1629.24965283135,2166.11603147662
lentejas,lentil_9.jpeg,12,5693,360.458,0.48001634402921,2.74801412393567,91.2518298616713,80.0515387537725,2026.06183031793,323.376075882663
